EleanorNorton,Rep,Eleanor,Norton,D,DC,F,75,608,49,9051,41
gracenapolitano,Rep,Grace,Napolitano,D,CA,F,76,635,33,3670,178
Rep_DevinNunes,Rep,Devin,Nunes,R,CA,M,39,2,20,103,0
RandyNeugebauer,Rep,Randy,Neugebauer,R,TX,M,63,2610,48,7097,2439
repkristinoem,Rep,Kristi,Noem,R,SD,F,41,1077,27,10298,214
RepRichNugent,Rep,Richard,Nugent,R,FL,M,61,64,27,2255,172
repalannunnelee,Rep,Alan,Nunnelee,R,MS,M,54,755,27,3822,378
RepMcLeod,Rep,Gloria,Negrete McLeod,D,CA,F,71,108,3,484,149
OlsonPressShop,Rep,Pete,Olson,R,TX,M,50,2173,50,3267,1304
BillOwensNY,Rep,William,Owens,D,NY,M,64,1620,28,2644,666
FrankPallone,Rep,Frank,Pallone,D,NJ,M,61,4000,48,8721,493
BillPascrell,Rep,Bill,Pascrell,D,NJ,M,76,383,43,2274,0
NancyPelosi,Rep,Nancy,Pelosi,D,CA,F,73,1288,56,320304,253
RepJoePitts,Rep,Joseph,Pitts,R,PA,M,73,452,30,2697,48
robportman,Sen,Robert,Portman,R,OH,M,57,2534,51,28009,1648
RepDavidEPrice,Rep,David,Price,D,NC,M,72,859,34,4276,2323
RepStevePearce,Rep,Stevan,Pearce,R,NM,M,65,1243,27,3561,506
senmarkpryor,Sen,Mark,Pryor,D,AR,M,50,811,16,4604,165
RepTomPrice,Rep,Tom,Price,R,GA,M,58,3219,71,18765,3126
JudgeTedPoe,Rep,Ted,Poe,R,TX,M,64,1643,43,7724,473
RepPerlmutter,Rep,Ed,Perlmutter,D,CO,M,59,586,50,6651,68
RepErikPaulsen,Rep,Erik,Paulsen,R,MN,M,47,1767,53,9022,2200
RepGaryPeters,Rep,Gary,Peters,D,MI,M,54,993,27,3449,313
pedropierluisi,Rep,Pedro,Pierluisi,D,PR,M,53,4321,48,17603,5050
chelliepingree,Rep,Chellie,Pingree,D,ME,F,58,866,59,8243,254
RepPolisPress,Rep,Jared,Polis,D,CO,M,37,101,15,726,222
congbillposey,Rep,Bill,Posey,R,FL,M,65,1010,49,5724,930
congpalazzo,Rep,Steven,Palazzo,R,MS,M,43,643,23,3180,1291
repmikepompeo,Rep,Mike,Pompeo,R,KS,M,49,969,26,3566,1130
SenRandPaul,Sen,Rand,Paul,R,KY,M,50,849,29,177324,226
RepDonaldPayne,Rep,Donald,Payne,D,NJ,M,54,103,2,322,179
RepScottPerry,Rep,Scott,Perry,R,PA,M,50,248,51,1593,356
RepPittenger,Rep,Robert,Pittenger,R,NC,M,64,160,4,634,791
RepScottPeters,Rep,Scott,Peters,D,CA,M,54,220,2,333,185
RepMikeQuigley,Rep,Mike,Quigley,D,IL,M,54,2262,45,7188,1462
cbrangel,Rep,Charles,Rangel,D,NY,M,82,2127,50,13199,2679
SenJackReed,Sen,John,Reed,D,RI,M,63,860,14,4328,0
SenatorReid,Sen,Harry,Reid,D,NV,M,73,1773,54,98852,134
