gender,followers per capita,,gender,followers per capita,,gender,followers per capita,,,,,
M,0.0009,,,,,M,0.0039,,,,,
M,0.0005,,,,,M,0.0019,,,,,
M,0.0001,,,,,M,0.0004,,,,,
M,0.0004,,,,,M,0.0004,,,,,
M,0.0007,,,,,M,0.0005,,,,,
M,0.0009,,,,,M,0.0091,,,,,
M,0.0006,,,,,M,0.0013,,,,,
F,0.0013,,,,,M,0.0047,,,,,
M,0.001,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0.0016,,,,,
M,0.0003,,,,,M,0,,,,,
M,0.0006,,,,,M,0,,,,,
M,0.0002,,,,,M,0,,,,,
M,0,,,,,M,0.0075,,,,,
M,0,,,,,M,0.001,,,,,
M,0.0001,,,,,M,0.0015,,,,,
F,0.0003,,,,,M,0.0006,,,,,
M,0.2391,,,,,M,0,,,,,
M,0.0027,,,,,,,,,,,
M,0.0005,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0018,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0.0007,,,,,,,,,,,
F,0.0003,,,,,,,,,,,
M,0.0008,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
F,0.0011,,,,,,,,,,,
M,0.0036,,,,,,,,,,,
F,0.0008,,,,,,,,,,,
M,0.0011,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
M,0.0006,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
M,0.0003,,,,,,,,,,,
M,0.0006,,,,,,,,,,,
F,0.0005,,,,,,,,,,,
M,0.0008,,,,,,,,,,,
F,0.0002,,,,,,,,,,,
M,0.0012,,,,,,,,,,,
M,0.0015,,,,,,,,,,,
F,0.0075,,,,,,,,,,,
M,0.0011,,,,,,,,,,,
M,0.005,,,,,,,,,,,
F,0.0007,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0.0003,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0007,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0169,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0031,,,,,,,,,,,
M,0.0016,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0003,,,,,,,,,,,
F,0.0006,,,,,,,,,,,
M,0.0005,,,,,,,,,,,
F,0.0009,,,,,,,,,,,
M,0.0003,,,,,,,,,,,
M,0.0007,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0007,,,,,,,,,,,
M,0.0039,,,,,,,,,,,
M,0.0043,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.002,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0.0004,,,,,,,,,,,
M,0.0002,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0019,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0039,,,,,,,,,,,
M,0.0019,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0004,,,,,,,,,,,
M,0.0005,,,,,,,,,,,
M,0.0091,,,,,,,,,,,
M,0.0013,,,,,,,,,,,
M,0.0047,,,,,,,,,,,
M,0.0001,,,,,,,,,,,
F,0.0002,,,,,,,,,,,
M,0.0016,,,,,,,,,,,
F,0.0002,,,,,,,,,,,
F,0.0001,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
M,0,,,,,,,,,,,
F,0.0024,,,,,,,,,,,
M,0.0075,,,,,,,,,,,
M,0.001,,,,,,,,,,,
M,0.0015,,,,,,,,,,,
M,0.0006,,,,,,,,,,,
M,0,,,,,,,,,,,
