D,366,,,,,,,,,,,,,
R,591,,,,,,,,,,,,,
R,127,,,,,,,,,,,,,
D,14,,,,,,,,,,,,,
R,808,,,,,,,,,,,,,
D,154,,,,,,,,,,,,,
D,673,,,,,,,,,,,,,
R,3578,,,,,,,,,,,,,
D,2340,,,,,,,,,,,,,
R,96,,,,,,,,,,,,,
D,393,,,,,,,,,,,,,
R,34,,,,,,,,,,,,,
D,765,,,,,,,,,,,,,
R,704,,,,,,,,,,,,,
D,758,,,,,,,,,,,,,
D,217,,,,,,,,,,,,,
D,156,,,,,,,,,,,,,
D,418,,,,,,,,,,,,,
R,139,,,,,,,,,,,,,
D,750,,,,,,,,,,,,,
R,681,,,,,,,,,,,,,
D,591,,,,,,,,,,,,,
D,5697,,,,,,,,,,,,,
R,1363,,,,,,,,,,,,,
R,446,,,,,,,,,,,,,
D,317,,,,,,,,,,,,,
R,508,,,,,,,,,,,,,
R,809,,,,,,,,,,,,,
R,212,,,,,,,,,,,,,
R,202,,,,,,,,,,,,,
D,209,,,,,,,,,,,,,
D,484,,,,,,,,,,,,,
R,245,,,,,,,,,,,,,
D,604,,,,,,,,,,,,,
D,125,,,,,,,,,,,,,
R,177,,,,,,,,,,,,,
R,266,,,,,,,,,,,,,
D,170,,,,,,,,,,,,,
R,458,,,,,,,,,,,,,
R,16494,,,,,,,,,,,,,
R,213,,,,,,,,,,,,,
R,548,,,,,,,,,,,,,
D,669,,,,,,,,,,,,,
R,276,,,,,,,,,,,,,
D,106,,,,,,,,,,,,,
D,1199,,,,,,,,,,,,,
R,1112,,,,,,,,,,,,,
D,772,,,,,,,,,,,,,
R,2388,,,,,,,,,,,,,
D,187,,,,,,,,,,,,,
D,5,,,,,,,,,,,,,
D,108,,,,,,,,,,,,,
D,798,,,,,,,,,,,,,
D,2179,,,,,,,,,,,,,
R,62,,,,,,,,,,,,,
D,345,,,,,,,,,,,,,
D,20,,,,,,,,,,,,,
D,859,,,,,,,,,,,,,
D,0,,,,,,,,,,,,,
D,129,,,,,,,,,,,,,
R,126,,,,,,,,,,,,,
R,276,,,,,,,,,,,,,
R,306,,,,,,,,,,,,,
D,250,,,,,,,,,,,,,
R,150,,,,,,,,,,,,,
R,245,,,,,,,,,,,,,
R,437,,,,,,,,,,,,,
R,320,,,,,,,,,,,,,
D,1261,,,,,,,,,,,,,
R,6222,,,,,,,,,,,,,
D,11163,,,,,,,,,,,,,
R,322,,,,,,,,,,,,,
D,991,,,,,,,,,,,,,
R,628,,,,,,,,,,,,,
R,541,,,,,,,,,,,,,
R,173,,,,,,,,,,,,,
R,75,,,,,,,,,,,,,
R,219,,,,,,,,,,,,,
R,83,,,,,,,,,,,,,
D,226,,,,,,,,,,,,,
R,321,,,,,,,,,,,,,
D,207,,,,,,,,,,,,,
R,556,,,,,,,,,,,,,
R,333,,,,,,,,,,,,,
R,7,,,,,,,,,,,,,
