RepFilemonVela,Rep,Filemon,Vela,D,TX,M,50
MaxineWaters,Rep,Maxine,Waters,D,CA,F,74
MelWattNC12,Rep,Melvin,Watt,D,NC,M,67
WaxmanClimate,Rep,Henry,Waxman,D,CA,M,73
repedwhitfield,Rep,Ed,Whitfield,R,KY,M,69
senatorwicker,Sen,Roger,Wicker,R,MS,M,61
RepWOLFPress,Rep,Frank,Wolf,R,VA,M,74
RonWyden,Sen,Ron,Wyden,D,OR,M,63
repgregwalden,Rep,Greg,Walden,R,OR,M,56
USRepJoeWilson,Rep,Joe,Wilson,R,SC,M,65
repwestmoreland,Rep,Lynn,Westmoreland,R,GA,M,63
RepWalberg,Rep,Tim,Walberg,R,MI,M,61
SenWhitehouse,Sen,Sheldon,Whitehouse,D,RI,M,57
RobWittman,Rep,Robert,Wittman,R,VA,M,54
MarkWarner,Sen,Mark,Warner,D,VA,M,58
RepWebster,Rep,Daniel,Webster,R,FL,M,63
RepWilson,Rep,Frederica,Wilson,D,FL,F,70
Rep_SteveWomack,Rep,Steve,Womack,R,AR,M,56
